time,q0,q1,q2,q3,q4,q5,q6,fx,fy,fz,tx,ty,tz
0.7251756191253662,-0.126326,0.113300,0.053275,-0.082312,0.095577,0.095616,0.002733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7350599765777588,-0.132657,0.115398,0.054784,-0.086099,0.099997,0.100017,0.002725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7451972961425781,-0.137422,0.116974,0.055922,-0.088960,0.103338,0.103345,0.002719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7555367946624756,-0.142177,0.118546,0.057052,-0.091795,0.106649,0.106640,0.002713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.765256404876709,-0.148497,0.120634,0.058552,-0.095556,0.111042,0.111011,0.002705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7753913402557373,-0.153213,0.122192,0.059671,-0.098359,0.114316,0.114270,0.002699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7854409217834473,-0.159485,0.124262,0.061159,-0.102092,0.118678,0.118611,0.002692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7953541278839111,-0.165724,0.126321,0.062639,-0.105800,0.123010,0.122922,0.002686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8056125640869141,-0.171934,0.128370,0.064112,-0.109491,0.127325,0.127216,0.002680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8154397010803223,-0.178118,0.130410,0.065579,-0.113168,0.131623,0.131494,0.002675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.825559139251709,-0.184276,0.132441,0.067040,-0.116829,0.135904,0.135755,0.002670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8355579376220703,-0.190437,0.134472,0.068504,-0.120507,0.140203,0.140036,0.002666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8457503318786621,-0.196561,0.136491,0.069955,-0.124139,0.144451,0.144263,0.002661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8559353351593018,-0.201154,0.138004,0.071047,-0.126883,0.147660,0.147460,0.002659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8657689094543457,-0.207252,0.140014,0.072492,-0.130501,0.151893,0.151672,0.002655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.875826358795166,-0.213310,0.142010,0.073927,-0.134092,0.156095,0.155854,0.002651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8860249519348145,-0.219364,0.144004,0.075364,-0.137699,0.160315,0.160056,0.002649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
